Equipment Name,Type,Flowrate,Pressure,Temperature
Centrifugal Pump P-101,Pump,145.5,4.2,65.0
Positive Displacement Pump P-102,Pump,85.2,12.8,72.5
Boiler Feed Pump P-103,Pump,210.0,28.5,140.2
Slurry Pump P-104,Pump,95.0,6.1,45.0
Shell and Tube Exchanger E-201,Heat Exchanger,320.0,8.5,185.0
Plate Heat Exchanger E-202,Heat Exchanger,180.4,5.2,95.0
Air Cooled Condenser E-203,Heat Exchanger,450.0,2.1,55.0
Reboiler Exchanger E-204,Heat Exchanger,275.5,14.0,210.0
Continuous Stirred Reactor R-301,Reactor,120.0,18.5,230.0
Plug Flow Tubular Reactor R-302,Reactor,250.0,35.0,280.5
Fluidized Bed Reactor R-303,Reactor,190.0,22.0,310.0
Fixed Bed Catalytic Reactor R-304,Reactor,160.5,16.2,195.0
Primary Distillation Column C-401,Column,520.0,1.8,165.0
Vacuum Distillation Column C-402,Column,380.0,0.4,120.0
Gas Stripping Column C-403,Column,290.0,3.5,85.0
Absorption Column C-404,Column,340.0,7.2,40.0
Centrifugal Gas Compressor K-501,Compressor,620.0,42.0,115.0
Reciprocating Compressor K-502,Compressor,210.0,85.0,135.0
Screw Air Compressor K-503,Compressor,410.0,10.5,80.0
Crude Feed Storage Tank T-601,Storage Tank,800.0,1.02,28.0
Product Buffer Tank T-602,Storage Tank,450.0,1.15,32.0
Pressurized Liquefied Gas Tank T-603,Storage Tank,150.0,18.0,-15.0
Main Feed Pneumatic Control Valve V-701,Valve,320.0,15.5,110.0
Emergency Pressure Relief Valve V-702,Valve,0.0,0.0,25.0
Steam Throttle Control Valve V-703,Valve,185.0,32.0,240.0
Cooling Water Bypass Valve V-704,Valve,420.0,4.5,30.0
Decommissioned Backup Pump P-105,Pump,,,
Offline Stripper Column C-405,Column,,,
Standby Refrigeration Unit K-504,Compressor,,,
Emergency Flare Scrubber C-406,Column,310.0,,65.0
Off-Gas Thermal Oxidizer R-305,Reactor,,14.5,420.0
Chilled Brine Circulation Pump P-106,Pump,120.0,6.5,
